name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
DTLA Convention Center Marvelous Suite,90015,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Radisson Hotel Los Angeles Midtown at USC,90007,"1,301",8.2,8.6,8.4,8.1,8.4,7.4,8.4,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(3.1 miles from center)
Brand New GLENDON Apt (UCLA) in Los Angeles 22,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Breathtaking Spanish Villa In Hollywood Hills,90068,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
DoubleTree Suites by Hilton Santa Monica,-3310,"1,255",8.0,8.4,8.2,7.8,8.5,6.7,5.5,8.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,(14.3 miles from center)
Viceroy L'Ermitage Beverly Hills,90210,445,9.2,9.6,9.5,9.2,9.3,8.5,9.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
Plaza la Reina,90024,208,9.1,9.3,9.2,9.1,9.1,8.6,9.9,9.3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(11.2 miles from center)
Marina del Rey Suites,90292,355,9.0,9.2,9.2,9.1,8.9,8.5,9.5,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Global Luxury Suites at Studio City,91604,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Immaculate & Spacious Apt Westwood 16,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Waldorf Astoria Beverly Hills,90210,71,9.3,9.7,9.6,9.5,9.4,8.3,8.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Hotel Figueroa Downtown Los Angeles,90015,155,8.9,9.2,9,8.7,9.2,8.1,9,9.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
Beverly Laurel Motor Hotel,90048,"1,613",8.5,8.9,8.4,8.2,8.8,8,8.9,8.8,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.8 miles from center)
Miracle Mile Home,90019,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5.6 miles from center)
Popular Hollywood Rockstar Penthouse,90028,7,8.0,7.5,8.6,7.5,6.4,8.2,9.7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Unique Views Getaway In Hollywood Hills,91436,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(14.9 miles from center)
Best Western Plus Sunset Plaza Hotel,90069,"1,045",8.4,8.7,8.5,8.2,8.3,7.6,8.4,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Kimpton Everly Hotel,90028,363,9.0,9.4,9.4,9,9.2,8.1,8.7,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
City-View Penthouse,90005,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(2.8 miles from center)
InterContinental Los Angeles Century City at Beverly Hills,90067,512,8.6,9,8.9,8.6,9,7.7,7.5,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(9.3 miles from center)
Venice on the Beach Hotel,90291,"1,665",8.5,8.7,8.1,7.9,9.1,7.6,8.6,9.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(13.7 miles from center)
BLVD Hotel & Spa,91604,956,8.2,8.7,8.4,7.9,8.5,7.5,7.8,8.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
Casa Del Mar,90405,549,8.8,9.2,9.1,8.8,9,7.4,9,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,(14.3 miles from center)
Hyatt Regency Los Angeles International Airport,90045,"2,762",8.6,8.9,8.9,8.6,8.7,7.9,8.1,8.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
The NoMad Los Angeles,90014,125,8.9,9.4,9.1,9.1,8.8,8.2,8.9,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
Andaz West Hollywood-a concept by Hyatt,90069,649,8.8,9.1,9,8.8,9.2,7.9,8.7,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Hollywood Luxury Suite * 5 beds + Parking,90028,18,8.8,8.9,9.2,8.5,8.9,8.5,10,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Sunset Blvd Apartment,90038,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(4.3 miles from center)
Montage Beverly Hills,90210,160,8.9,9.3,9.1,8.9,9,7.6,8.6,9.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
"Luxury, Hollywood Walk of Fame",90028,57,8.6,8.8,8.4,8.4,8.7,8.1,10,9.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
iHome Santa Monica Beach & pier Apartment *28,90401,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,(14.3 miles from center)
Westwood Apartment R415,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Luxury Apartment Near The Grove,90036,88,8.8,8.5,8.8,8.7,9.4,8.5,9.1,9.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Hilton Los Angeles-Universal City,91608,"2,311",8.4,8.7,8.6,8.3,8.5,7.1,6.8,9.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
DTLA Convention Center Suite,90015,31,8.9,9,9.4,9,9,8.2,10,8.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Lexen Hotel - Hollywood,90068,392,8.6,9.2,8.6,8.3,8.8,7.9,8.4,8.7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(6.2 miles from center)
The Charlie West Hollywood,90069,252,9.1,9.2,9.3,9,9,8.6,9.1,9.6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Urban Hollywood Rock N Roll Suite,90028,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !,90036,6,9.6,9.6,10,10,9.6,9.2,10,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
DTLA Convention Center Deluxe Suite,90015,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.6 miles from center)
Loews Hollywood Hotel,90028,"1,239",8.6,8.9,8.8,8.6,8.8,7.6,8.2,9.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown Oasis in DTLA,90017,15,8.7,8.7,8.8,8.7,8.5,8.7,8.7,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center)
Luxury Apartments in Downtown LA,90012,241,8.4,8.7,8.8,8.7,7.9,8.1,8.7,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(800 feet from center)
DTLA Convention Center Upscale Apartment,90015,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center)
Hollywood Glitz & Glamour Suite,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown Luxurious Oasis,90015,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(1.5 miles from center)
Ace Hotel Downtown Los Angeles,90015,917,8.2,8.7,8.2,8.3,8.7,7.2,8.7,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center)
The Georgian Hotel,90401,894,8.3,8.7,8.4,7.7,8.4,7.1,8.1,9.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,(14.3 miles from center)
Brand New Apartment in Quiet Location near UCLA*20,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(11.2 miles from center)
Hotel Beverly Terrace,90210,"1,527",8.5,8.9,8.2,8.3,9,7.7,8.8,8.9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(8.1 miles from center)
Huntley Santa Monica Beach,90403,713,8.8,9.4,9.3,8.7,8.7,7.6,7.8,9.3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,(14.9 miles from center)
Residence Inn by Marriott Beverly Hills,0035 ,510,8.0,8.3,8,7.9,8.3,7.2,8.4,8.2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(8.7 miles from center)
Luxe City Center Hotel,90015,"1,078",8.4,8.8,8.5,8.2,8.5,7.4,8.4,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.3 miles from center)
Chic Staples Center Apartment,90015,17,8.9,9,9.3,9.1,8.5,8.4,10,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
SIXTY Beverly Hills,90212,654,8.1,8.3,8.1,7.8,8.4,7,7.1,9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
Hollywood Blvd Plush Apartment,90028,17,8.8,9,9.1,8.7,8.1,8.6,10,9.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(6.2 miles from center)
Friendship Motor Inn,90019,"2,354",8.2,8.5,8,7.7,8.7,8.2,7.5,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(4.3 miles from center)
Two Bedroom near Boardwalk,90291,7,8.5,8.9,8.2,7.9,7.9,8.2,10,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(13.7 miles from center)
Viceroy Santa Monica,90401,779,8.3,8.8,8.6,8.2,8.4,6.9,8.8,356,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,(14.3 miles from center)
Luxury Apartments Near the Grove,90036,45,9.1,9,9.1,9.1,9.5,9,8.8,9.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Venice Breeze Suites,90291,510,8.4,8.6,8.4,8.4,8.4,7.7,9.1,9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,(13.7 miles from center)
LA Deluxe Suite at The Grove Mall,90036,8,9.8,9.7,9.7,9.4,10,10,10,9.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
"Walk to Beach 2-BDRM w/ Pool, Gym, Rooftop Lounge",90292,0,0,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(13 miles from center)
Shore Hotel,90401,"1,096",8.5,9.1,8.6,8.4,8.7,7,8.6,9.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,(14.3 miles from center)
Hollywood Boulevard Celebrity Suite 3 Bedrooms,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Urban Hollywood Blvd Cinema Suite,90028,9,9.3,8.9,9.5,8.9,9.5,8.9,10,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Travelodge by Wyndham Culver City,90232,311,7.9,8.1,8,7.6,8.1,7.5,7.3,7.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,(9.9 miles from center)
Four Seasons Hotel Los Angeles at Beverly Hills,90048,192,9.0,9.4,9.3,9.1,9.4,8,8.6,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Hotel Aventura,90006,"1,290",8.5,9.1,8.7,8.5,8.6,8.2,8.5,7.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,(3.1 miles from center)
Loft on Spring,90014,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Hotel Erwin,90291,"1,022",8.4,8.7,8.4,8.1,9,7.2,8.4,9.1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,(13.7 miles from center)
Amazing Apartments near the grove,90036,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Hotel Bel-Air,90077,93,9.4,9.7,9.7,9.5,9.4,8.4,9.2,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Popular Hollywood Upstairs Downstairs Penthouse,90028,15,8.3,8.2,9.2,7.8,8.3,8,7.5,8.3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Popular Hollywood Blvd 2BR/BA Oscars,90015,57,8.3,8.4,8.4,8.1,7.9,8,8.8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
The Beverly Hills Hotel,90210,288,9.4,9.6,9.6,9.5,9.6,8.4,9.3,9.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center)
Heart of Hollywood,90028,17,9.6,9.7,9.3,9.9,9.9,9.1,9.9,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Private bedroom and bathroom in the shared two bedroom apartment - PRIVATE MASTER BEDROOM,90292,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center)
Spacious Town House - 2 Levels,90036,17,8.6,8.8,8.8,8.5,8.5,8.1,8.9,9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Popular Hollywood Blvd View Penthouse,90028,26,8.6,8.7,9,8.3,8,8.4,9.4,9.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Popular Hollywood Walk of Fame Penthouse,90028,35,8.2,8.2,8.5,7.8,7.9,7.7,8.3,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Walk to Convention Center Apartment,90015,12,8.5,8.8,8.8,8.8,8.3,8.3,7.9,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.6 miles from center)
Los Angeles Airport Marriott,90045,"1,945",8.0,8.4,8.1,7.9,8.3,7.2,6.3,8.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(10.6 miles from center)
MARINA'S GORGEOUS TOP FLOOR WITH VIEWS & AMAZING AMENITIES,90292,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center)
Beautiful Large Duplex House at The GROVE | Free Parking,90036,11,9.0,8.4,9.3,8.6,9.6,8,9.8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Downtown LA Mandarin Resort Style Suite,90012,24,8.4,8.6,8.7,8.7,7.7,8.3,10,8.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
Groovy 2-Bedroom Condo with Terrace,90292,5,8.5,8.5,8.5,8.5,8.1,7.5,10,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(13 miles from center)
Mayumi,90230,31,8.9,9.3,9,9.3,8.8,8.4,8.3,8.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(9.3 miles from center)
East West Comfort: Studio City Universal Apartments,91604,16,8.6,8.5,8.3,8.6,8.8,8.1,8.8,9.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Marina Studio by the Venice Beach,90292,8,8.8,8.8,8.5,8.8,8.8,8.1,9.7,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center)
