"name","Zip code"
"Private Bedroom with Bathroom in Shared 2 Bedroom Apartment",90292
"Big & Beautiful 3Bedroom Apt in Marina Del Rey",90292
"Marina del Rey Marriott",90292
"Su Casa at Venice Beach",90291
"Venice Beach Suites & Hotel",90291
"Boutique 444 Venice Beach",90291
"AIR Venice on the Beach",90291
"Venice on the Beach Hotel",90291
"Samesun Venice Beach",90291
"Abbot Kinney Apartment",90291
"Venice House on the Canals",90291
"The Rose Hotel",90291
"Venice Beach Vacation Condos",90291
"Venice Breeze Suites",90291
"Two Bedroom near Boardwalk",90291
"Encore Motel",90291
"Venice Suites",90291
"PodShare Venice",90291
"VE Venice Guest House",90291
"Inn at Venice Beach",90291
"Hotel Erwin",90291
"Venice Beach House",90291
"Hampton Inn Los Angeles Int'l Airport/Hawthorne",90250
"The Culver Hotel",90232
"Travelodge by Wyndham Culver City",90232
"Mayumi",90230
"DoubleTree by Hilton Hotel Los Angeles - Westside",90230
"Courtyard Los Angeles Westside",90230
"Sunburst Spa & Suites Motel",90230
"Mosaic Hotel",90212
"Avalon Hotel Beverly Hills",90212
"Beverly Wilshire, A Four Seasons Hotel",90212
"SIXTY Beverly Hills",90212
"Sirtaj Hotel",90212
"The Peninsula Beverly Hills",90212
"Hotel Beverly Terrace",90210
"Viceroy L'Ermitage Beverly Hills",90210
"Beverly Hills Guest House",90210
"Beverly Hills Spanish Apartment",90210
"Luxe Rodeo Drive Hotel",90210
"The Beverly Hilton",90210
"The Beverly Hills Hotel",90210
"Crescent Hotel",90210
"Montage Beverly Hills",90210
"Waldorf Astoria Beverly Hills",90210
"AKA Beverly Hills",90210
"Urban Downtown LA Moroccan Resort Suite",90115
"EXQUISITE MARINA 2BDR SUITE WITH BALCONY & RELAXING VIEWS",90094
"Marina Vacation Rentals",90094
"Hotel Bel-Air",90077
"Bel Air Villa",90077
"Millennium Biltmore Los Angeles",90071
"The Westin Bonaventure Hotel & Suites",90071
"The Standard, Downtown LA",90071
"Le Parc Suite Hotel",90069
"The Charlie West Hollywood",90069
"Kimpton La Peer Hotel",90069
"Sunset Home",90069
"Melrose Apartment # 18",90069
"Mondrian Los Angeles in West Hollywood",90069
"Palihouse West Hollywood",90069
"Andaz West Hollywood-a concept by Hyatt",90069
"West Hollywood Studio",90069
"The London West Hollywood at Beverly Hills",90069
"Petit Ermitage",90069
"The Standard, Hollywood",90069
"Best Western Plus Sunset Plaza Hotel",90069
"Montrose West Hollywood",90069
"Sunset Tower Hotel",90069
"Kings Home",90069
"The Jeremy Hotel West Hollywood",90069
"Sunset Marquis Hotel",90069
"Best Western Hollywood Plaza Inn",90068
"Oakwood Toluca Hills",90068
"BLVD Hotel & Suites",90068
"Live like a Hollywood Celebrity",90068
"Tilt Hotel Universal Hollywood, an Ascend Hotel Collection Member",90068
"Hilton Garden Inn Los Angeles / Hollywood",90068
"Holiday Inn Express Hollywood Walk of Fame",90068
"Gorgeous Bungalow walk to Universal Studios, Hollywood",90068
"Lexen Hotel - Hollywood",90068
"Hollywood Hills Spanish",90068
"Deluxe, Universal Studios / 2 rooms",90068
"InterContinental Los Angeles Century City at Beverly Hills",90067
"Bungalows at Marina del Rey/ Venice Beach",90066
"Super 8 by Wyndham Los Angeles-Culver City Area",90066
"Villa Brasil Motel",90066
"Best Western Royal Palace Inn & Suites",90064
"Selby Ave Guest House",90064
"Century Park Hotel LA",90064
"Bel Air Luxury Living",90049
"Brentwood Family home",90049
"Brentwood Inn",90049
"Luxe Sunset Boulevard Hotel",90049
"Hotel Angeleno",90049
"Four Seasons Hotel Los Angeles at Beverly Hills",90048
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",90048
"Garden Cottage B&B",90048
"Elan Hotel",90048
"The Orlando Hotel",90048
"Melorese PH Loft",90048
"Kimpton Hotel Wilshire",90048
"Hotel Sofitel Los Angeles at Beverly Hills",90048
"Beverly Laurel Motor Hotel",90048
"Beverly Hills / Cedars Sinai",90048
"Palihotel Melrose",90046
"WeHo Bungalow with Private Garden",90046
"Luxury Suite in The Heart of Hollywood",90046
"Dresden B & B",90046
"West Hollywood Guesthouse",90046
"SureStay Collection by Best Western Saharan Hotel",90046
"The Moment Hotel",90046
"Elaine's Hollywood Bed & Breakfast",90046
"Sunset Strip 1-Bedroom with Balcony, Pool and Views",90046
"Chic and Charming 1 bdr",90046
"Chateau Marmont",90046
"WeHo Palace, 2 Bedroom 2 Full Bath",90046
"Hollywood Bed & Breakfast",90046
"Prime West Hollywood, Gorgeous & Renovated 2 Bed 2 Bath",90046
"Hilton Los Angeles Airport",90045
"Courtyard by Marriott Los Angeles LAX / Century Boulevard",90045
"The Westin Los Angeles Airport",90045
"H Hotel Los Angeles, Curio Collection By Hilton",90045
"LA LAX Teresa B&B",90045
"Homewood Suites By Hilton Los Angeles International Airport",90045
"Crowne Plaza Los Angeles International Airport",90045
"Los Angeles Airport Marriott",90045
"La Quinta Inn & Suites LAX",90045
"Four Points by Sheraton Los Angeles International Airport",90045
"Holiday Inn Los Angeles - LAX Airport",90045
"Renaissance Los Angeles Airport Hotel",90045
"Embassy Suites Los Angeles - International Airport/North",90045
"Residence Inn by Marriott Los Angeles LAX/Century Boulevard",90045
"Hyatt Regency Los Angeles International Airport",90045
"Sheraton Gateway Los Angeles",90045
"Holiday Inn Express Los Angeles LAX Airport",90045
"24 Hours Motel",90043
"Comfort Inn Near Old Town Pasadena in Eagle Rock CA",90041
"Regency Inn in Los Angeles",90041
"Chic Hollywood home - central to everything",90038
"Hollywood 2Bed 2Bath",90038
"Upscale 2Bed 2Bath & Gated Parking",90038
"Hollywood Private Bungalow",90038
"The Willow",90038
"Hampton Inn & Suites Los Angeles/Hollywood, CA",90038
"Rodeway Inn Hollywood",90038
"Hollywood House Melrose Place",90038
"Hollywood Historic Hotel",90038
"Clean and Nice Single Room",90037
"Beautiful Large Duplex House at The GROVE | Free Parking",90036
"Amazing 2bed/2 bath near the Grove",90036
"Luxury Private 2 bedroom Condo",90036
"Farmer's Daughter Hotel",90036
"W. HOLLYWOOD CHARMING 2BR/2BT SUITE / Free Parking / Rooftop Pool",90036
"HUGE AND STYLISH 2 BDR APARTMENT, BEST LOCATION IN LA",90036
"Private Hollywood 4Br Villa at Melrose",90036
"Charming and Lovely apt!",90036
"Popular The Grove Upscale Suite",90036
"Global Luxury Suites at Wilshire",90036
"LA Paradise Retreat Amazing Location",90036
"LA Clean and Comfy Suite",90036
"Melrose Place",90036
"LA Luxury Suite at The Grove | 2BR&2BT | Pool | Free Parking",90036
"Luxury Apartments Near the Grove",90036
"LA Deluxe Suite at The Grove Mall",90036
"Popular Hollywood and The Grove Luxury Pavilion Resort Style Suite",90036
"The Palazzo Communities by Synergy",90036
"Luxury Condo with Parking",90036
"The Grove Luxe Apartment",90036
"Spacious Town House - 2 Levels",90036
"The Grove Luxury Suite",90036
"CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !",90036
"Penthouse with a Stunning Hollywood View",90036
"Luxury Apartment Near The Grove",90036
"Ultimate LA Vacation Hideaway w/ Private Pool",90036
"Fully furnished apartment in la close to Beverly Hills",90035
"Carlyle Inn",90035
"Beverly Hills Celebrity Home",90035
"Beverly Hills Marriott",90035
"Mr C Beverly Hills",90035
"LA Villa close to Little Tokyo",90033
"Titta Inn",90032
"Hollywood Hotel - The Hotel of Hollywood Near Universal Studios",90029
"PodShare Los Feliz",90029
"Popular Hollywood Blvd Premier Suite",90028
"Hollywood Luxury Suite * 5 beds + Parking",90028
"Luxury, Hollywood Walk of Fame",90028
"Loews Hollywood Hotel",90028
"Hollywood Blvd Plush Apartment",90028
"Urban Hollywood Blvd Cinema Suite",90028
"Popular Hollywood Upstairs Downstairs Penthouse",90028
"Heart of Hollywood",90028
"Popular Hollywood Blvd View Penthouse",90028
"Popular Hollywood Walk of Fame Penthouse",90028
"Popular Hollywood Marilyn Monroe Suite",90028
"Dream Hollywood",90028
"Popular Hollywood Famous suite",90028
"Popular Hollywood Fabulous Suite",90028
"Urban Hollywood Memories Penthouse",90028
"East West Comfort: Hollywood Walk of Fame Apartments",90028
"Popular Hollywood Presidential Penthouse",90028
"Popular Hollywood Blvd Deluxe Suite",90028
"Urban Hollywood Chateau Suite",90028
"Popular Hollywood VIP Celebrity Penthouse",90028
"Sunset Boulevard Luxury Private Home Escape",90028
"Downtown Los Angeles Deluxe Penthouse",90028
"Popular Hollywood Spectacular Double King Suite",90028
"Walk of Fame Hostel",90028
"Best Western Plus Hollywood Hills Hotel",90028
"Popular Hollywood VIP Executive Suite",90028
"Popular Hollywood Blvd Gorgeous Penthouse",90028
"Popular Hollywood Blvd Majestic Suite",90028
"Popular Hollywood Blvd Shining Suite",90028
"Hollywood Walk of Fame Apartment",90028
"Hollywood Spring Deluxe",90028
"Popular Hollywood Celebrity Suite",90028
"Popular Hollywood Blvd Luxury Penthouse",90028
"Popular Hollywood Skyline View Penthouse",90028
"Heaven on Hollywood Furnished Apartments",90028
"Popular Hollywood Prestige Suite",90028
"Hollywood Megastar 5 beds 2-BR pool",90028
"Modern 2BR/2BA in the Heart of Hollywood",90028
"Studio Plus - Hollywood Luxury 2BR APT",90028
"Loft on Hollywood Walk of Fame",90028
"The Hollywood Roosevelt",90028
"Villa Delle Stelle",90028
"Hollywood Glamourous Apartment",90028
"W Hollywood",90028
"Urban Hollywood Blvd Dream Penthouse",90028
"Popular Hollywood Blvd Plush Suite",90028
"Urban Hollywood Tropicana Suite",90028
"Charlie Chaplin Historic Hollywood Home",90028
"Heart of Hollywood",90028
"Urban Hollywood James Bond Suite",90028
"Urban Hollywood Blvd Grammys Suite",90028
"Hollywood 6 beds Vip Pool Suite",90028
"Urban Hollywood Oscars Suite",90028
"Urban Hollywood Universal Studios Suite",90028
"Hollywood Blvd Exclusive Apartment",90028
"Franklin Tower",90028
"Urban Hollywood Two Level Penthouse",90028
"Urban Hollywood Celebrity Suite",90028
"Popular Hollywood Blvd Superstar Suite",90028
"Hollywood Blvd Stars Suite",90028
"The Hotel Hollywood",90028
"Popular Hollywood Blvd James Dean Suite",90028
"Popular Hollywood Boulevard Of Stars 2BR/BA Suite",90028
"Hollywood 7 Bed Penthouse Superstar",90028
"Hollywood Walk of Fame 5beds Studio",90028
"Hollywood Hills Suites",90028
"Hollywood Hot Spot Condo",90028
"Popular Hollywood Blvd Magnificent Suite",90028
"Popular Hollywood Blvd Two Story Suite",90028
"Dunes Inn - Sunset",90028
"Hollywood Grand Apartment",90028
"Hollywood 5 Beds Famous Awards Pool",90028
"Highland Gardens Hotel",90028
"Hollywood Downtowner Inn",90028
"Hotel Hwood Near the Sunset Strip",90028
"Hollywood and Sunset Furnished Apartments",90028
"Hollywood Blvd Walk of Fame Apartment",90028
"Hollywood Walk of Fame Furnished Apartments",90028
"Ginosi Metropolitan Apartel",90028
"Walk of Fame Apartment in Hollywood",90028
"Fabulous Walk of Fame Apartment in Hollywood",90028
"Walk of Fame Suite in Hollywood",90028
"Hollywood 6 Beds Superstar Pool",90028
"Hollywood Celebrity Hotel",90028
"Hollywood Orchid Suites",90028
"Hollywood Loft",90028
"Hollywood Bellucci Apartment",90028
"Boutique Citrus Apartments",90028
"Amazing Apartment Hollywood Blvd 2bd/bth",90028
"Luxury, Hollywood Modern",90028
"Popular Private luxury Room in shared apartment in Hollywood",90028
"Hollywood Olivia Apartment",90028
"Hollywood Loft Oasis",90028
"Luxury, Hollywood Experience",90028
"USA Hostels Hollywood",90028
"Hollywood Tower Apartel",90028
"Perfect Chill in Hollywood",90028
"Mama Shelter Los Angeles",90028
"Magic Castle Hotel",90028
"Hollywood Walk of Fame!",90028
"The Deluxe Oasis Apartment",90028
"Hollywood Sign View 5",90028
"Orange Drive Hostel",90028
"Hollywood 4Beds Los Angeles #1 Pool",90028
"Apartment North Mansfield Ave",90028
"The Hollywood Style Apartment",90028
"Hostel California",90028
"Hollywood Retreat",90028
"Heart of Hollywood",90028
"Banana Bungalow",90028
"Gorgeous and Renovated Apartment Near Hollywood Blvd",90028
"Republic Inn / Hollywood",90028
"Luxury 2-Bedroom, 2-Bathroom w Pool",90028
"Living the Dream in Hollywood",90028
"Popular Hollywood Rockstar Penthouse",90028
"Kimpton Everly Hotel",90028
"Hollywood Shine B&B",90028
"Urban Hollywood Glamour Suite",90028
"The Dixie Hollywood",90027
"Hollywood Inn Express North",90027
"Location For Vacation Hollywood Luxury Apartment",90027
"Boutique Hollywood",90027
"Hollywood City Inn",90027
"Comforting Hollywood Getaway",90027
"Cozy Silver Lake Getaway",90026
"Sunset Hilltop",90026
"Comfort Inn Los Angeles near Hollywood",90026
"Noon on Sunset Hill",90026
"Knights Inn Los Angeles Central / Convention Center Area",90026
"Hollywood Inn Express South",90026
"Holiday Inn Express West Los Angeles",90025
"Amazing Apartment in Santa Monica",90025
"Wilshire Motel",90025
"Pelham Apartment 8",90025
"Glendon Apartments",90024
"W Los Angeles – West Beverly Hills",90024
"Wellworth Apartments",90024
"Tiverton Apartment Lofts",90024
"Fabulous Apartment in GLENDON Next to UCLA Los Angeles *21",90024
"Westwood Apartment 409W",90024
"Plaza la Reina",90024
"Royal Palace Westwood Hotel",90024
"Kimpton Hotel Palomar Los Angeles Beverly Hills",90024
"Beverly Hills Plaza Hotel",90024
"Westwood Two Bedroom #1",90024
"Westwood Two Bedroom #2",90024
"Hilgard House Westwood Village",90024
"Strathmore Apartments",90024
"Audrey House",90020
"Shelter Hotel Los Angeles",90020
"Super Lovely Studio Apartment",90020
"Friendship Motor Inn",90019
"Mid City 3 Bedroom 3 Bathroom 5 Queen Beds",90019
"Downtown LA VIP Resort Apartment",90017
"DOWNTOWN L.A. SKY VIEW PENTHOUSE & 4 BEDS",90017
"The Mayfair Hotel",90017
"Modern Apartments in Downtown LA",90017
"Downtown LA Dazzling Apartment",90017
"Downtown LA Superb 5 Beds 2 BR Pool",90017
"New Luxury DT LA Apt- Pool, Gym, Staple center",90017
"Executive Lifestyle Apartment",90017
"Urban Dtla Paradise Suite",90017
"Downtown Victorian PH 6Beds W Pools",90017
"Los Comfy Apartment",90017
"Urban Downtown LA Modern Suite",90017
"Downtown Venus Apartment",90017
"Downtown LA Clean and Cozy Suite",90017
"Urban DTLA Corporate Executive Suite",90017
"NEW! LUXURY SUITE with Parking!",90017
"Urban Downtown LA Chanel Suite",90017
"Popular Downtown LA Bellagio Resort Suite",90017
"Downtown LA 5bed Royal Penthouse",90017
"Downtown LA Elegant 2BR Pool Suite",90017
"2 Bedroom Celebrity Loft",90017
"Urban Downtown LA Elegant Suite Los Angeles",90017
"Urban Two Level Bellagio Penthouse",90017
"Los Angeles 3 Bed Ace Pool Suite",90017
"Downtown LA Paradise Resort Suite",90017
"Downtown Celebrity Suite Near Staples Center",90017
"Popular Downtown LA Mediterranean View Penthouse",90017
"Urban Downtown LA Resort Style Suite",90017
"Downtown LA Brilliant 5 Beds Pool",90017
"Los Stylish Apartment Nice Area DTLA",90017
"Urban DTLA Resort Style Flamingo Suite",90017
"Sheraton Grand Los Angeles",90017
"Downtown LA Live Suites",90017
"Downtown LA 3-Bedroom Pool Suite #1",90017
"NEW Apartment near Staples Center",90017
"Luxury Home In The Heart of LA",90017
"Popular Downtown LA Governor Suite",90017
"Downtown Los Angeles 5bed Splendid",90017
"Wilshire Getaway Apartment",90017
"Hotel Indigo - Los Angeles Downtown",90017
"Popular Downtown LA Skyline View Suites",90017
"Downtown Juno Apartment",90017
"Wilshire Experience Apartment",90017
"Downtown LA 5 Beds Penthouse Pool",90017
"Modern Star Apartments",90017
"Epic Downtown Apartment",90017
"O Hotel",90017
"Downtown Oasis in DTLA",90017
"Executive Celebrity Suites",90017
"InterContinental - Los Angeles Downtown",90017
"Urban Downtown LA Luxury Resort Suite",90017
"Hotel Solaire Los Angeles",90017
"Top Floor Penthouse Living Like A Rockstar",90017
"Downtown LA Gorgeous Resort Style Suite",90017
"Urban Downtown LA Sapphire Suite",90017
"Luxury Downtown Vacation Home with Parking",90017
"Downtown LA City View Suite",90017
"Downtown Los Angeles Luxury 3-bedroom Pool Suite",90017
"Ginosi Downtown Apartel",90017
"Downtown LA 5Beds Spectacular Pool",90017
"Angel City Spacious Apartment",90017
"Downtown L.A. Resort Comfort Life and 4Beds",90015
"Courtyard by Marriott Los Angeles L.A. LIVE",90015
"Popular DTLA Designer Suite",90015
"Popular Hollywood Views Massive Penthouse",90015
"The Ritz-Carlton, Los Angeles L.A. Live",90015
"JW Marriott Los Angeles L.A. LIVE",90015
"Global Luxury Suites at Figueroa Street",90015
"Urban 20 FT Two Level Loft",90015
"Urban DTLA VIP Penthouse with Pool Table",90015
"DTLA Convention Center Suite",90015
"Urban DTLA Chic Stylish Suite",90015
"Luxury Studio Next to LA Live",90015
"Chic Staples Center Apartment",90015
"Downtown LA Luxe Staples Center Suite",90015
"East West Comfort: Downtown LA Cozy Apartments",90015
"DOWNTOWN L.A. 36 Story Breath Taking View Penthouse",90015
"Popular Hollywood Blvd Modern Suite",90015
"Luxe City Center Hotel",90015
"L.A. CITY LIFE HIGHRISE VIEWS - 5 BEDS",90015
"Popular Hollywood Blvd 2BR/BA Oscars",90015
"Walk to Convention Center Apartment",90015
"DTLA Staples Center Suite",90015
"Urban Hollywood Modern Penthouse",90015
"Contemporary Apartment in Downtown LA",90015
"Popular DTLA Designer Suite With Massive Views",90015
"Residence Inn by Marriott Los Angeles L.A. LIVE",90015
"Corporate Suites in Downtown LA near Staples Center",90015
"Downtown LA Convention Center Suite",90015
"Bluetiful Apartment Near to convention center",90015
"Popular Audrey Hepburns Hollywood Suites",90015
"Living The LA Dream 2 bed 2 bath",90015
"Popular Downtown LA Presidential Pool Table High Rise",90015
"Hotel Figueroa Downtown Los Angeles",90015
"Downtown LA Modern Staples Center Suite",90015
"DTLA Convention Center Stylish Apartment",90015
"Urban Downtown LA Designer City Sky Suite",90015
"Popular Downtown LA VIP Modern High Rise Suite",90015
"Luxury Apartment Near Staples Center",90015
"Penthouse Los Angeles Convention Resort Suite Pool",90015
"Urban Downtown LA City View Penthouse",90015
"Downtown LA Modern Home Staples Center",90015
"Downtown LA Convention Center Elite Apartment",90015
"Premier DTLA Convention Center Apartment",90015
"Downtown LA 1-Bedroom with Views",90015
"Ace Hotel Downtown Los Angeles",90015
"Urban Downtown 3br 3ba Sky Pool Table Penthouse",90015
"Popular Downtown LA Extravagant Suite",90015
"Urban DTLA Two Level Staples Center Loft",90015
"Urban Downtown LA Floor To Ceiling Penthouse",90015
"Downtown Highrise Luxury Living",90015
"36 Story Amazing View Penthouse",90015
"LEVEL Furnished Living Suites Downtown Los Angeles",90015
"Popular Downtown LA Spectacular Suite",90015
"Urban Dtla Two Level Fashion Loft",90015
"Downtown LA 5beds Entertainer Pool",90015
"Downtown LA Convention Center Apartment",90015
"Urban DTLA Top Level Penthouse",90015
"Urban Downtown LA Pool Table Penthouse",90015
"Urban Downtown LA Oasis Resort Suite",90015
"Los Angeles 5 Beds Convention Pool",90015
"Popular Downtown LA Splendid Suite",90015
"The Los Angeles Athletic Club",90014
"Popular Studio luxury Private apartment in Downtown Los Angeles",90014
"The NoMad Los Angeles",90014
"Tuck Hotel",90014
"Freehand Los Angeles",90014
"American Hotel",90013
"Best Western Plus Dragon Gate Inn",90012
"PREMIUM TWO BEDROOM CONDO w Free parking",90012
"Popular Downtown LA Cirrus Resort Style Suite",90012
"Popular Downtown LA Luxury Palazzo Resort Style Suite",90012
"Miyako Hotel Los Angeles",90012
"East West Comfort: Downtown LA Inspiring Apartment",90012
"Downtown Cosmopolitan Suites",90012
"Popular Downtown LA Venetian Resort Style Suite",90012
"Modern Living",90012
"Luxury Apartments in Downtown LA",90012
"Grand Suites",90012
"Downtown LA Serene Penthouse",90012
"Downtown LA Mandarin Resort Style Suite",90012
"Premier Suites",90012
"Superior Suites",90012
"Popular Downtown LA Platinum Resort Style Suite",90012
"Omni Los Angeles Hotel California Plaza",90012
"Royal Pagoda Motel",90012
"Popular Downtown LA Parlor Resort Style Suite",90012
"Comfort Suites",90012
"East West Comfort: Downtown LA Artistic Apartments",90012
"Popular Downtown Los Angeles Luxurious Resort Suite",90012
"Doubletree by Hilton Los Angeles Downtown",90012
"Dunes Inn - Wilshire",90010
"The LINE Hotel",90010
"Penthouse Highrise",90010
"Fully Furnished Apt in LA Downtown",90010
"High-Rise City View Condo",90010
"Los Angeles RoomRentals near USC",90007
"Radisson Hotel Los Angeles Midtown at USC",90007
"Modern 3 bedrooms 2 bathrooms Mid City",90006
"Downtown Mansion Hostel",90006
"Los Angeles RoomRentals Harvard Heights",90006
"Ramada by Wyndham Los Angeles/Downtown West",90006
"Hotel Aventura",90006
"Hotel Normandie - Los Angeles",90005
"Four Points by Sheraton Los Angeles Westside",230
"Residence Inn by Marriott Beverly Hills",35
"DoubleTree Suites by Hilton Santa Monica",-3310
